,Wedding/Type,Place,Cost/of/Type,Clothes/Bride,Clothes/Groom,Photography,Decor,Decor/Category,Entertainment,Entertainment/Category,Gifts(per/piece),Gifts/Category,Invitations/Cards,Cards/Category
42,////Temple Weddings////,Tirupati,81239,29990,5692,216200,563746,Luxury Package,131271,Professional Singer/Dance,2882,High-Quality,108,Customized Invitations
43,Heritage Weddings,Bangalore,10937915,326262,231708,183106,422929,Luxury Package,244069,Professional Singer/Dance,981,Edible,596,Boxed
44,Heritage Weddings,Varanasi,7922368,987777,229618,97129,50685,Mandap,315527,Celebrity Singers/Dancer,2261,High-Quality,587,Boxed
45,Hotel Weddings,Tirupati,573855,91859,384841,148747,476635,Luxury Package,238781,Professional Singer/Dance,2828,High-Quality,433,Customized Invitations
46,Heritage Weddings,////Mussoorie////,11572197,414714,356124,153739,114834,Venue Decor/519830,57902,Live Band,2590,High-Quality,102,Customized Invitations
47,////Farmhouse Weddings////,Udaipur,1996353,77874,34246,81589,595349,Luxury Package,363047,Celebrity Singers/Dancer,1999,Traditional Handicrafts,700,Boxed
48,Beach Weddings,Hyderabad,2117856,129603,57254,34158,94071,Venue Decor/519830,85979,Live Band,1287,Traditional Handicrafts,987,Scroll Invitations
49,Cruise Weddings,Varanasi,3860364,187463,100664,125203,261768,Floral Decor,419227,Celebrity Singers/Dancer,4280,Premium Perfumes,373,Customized Invitations
50,////Temple Weddings////,////Rishikesh////xc2,47896,25071,6478,196919,405600,Luxury Package,386287,Celebrity Singers/Dancer,4365,Premium Perfumes,815,Scroll Invitations
51,Palace Weddings,Goa,6963966,791412,578197,29814,387177,Floral Decor,71889,Live Band,2843,High-Quality,628,Boxed
52,Hotel Weddings,Shimla,302743,78389,354961,122443,562988,Luxury Package,90703,Live Band,3356,High-Quality,992,Scroll Invitations
53,////Temple Weddings////,Udaipur,29549,21820,12344,94365,269544,Floral Decor,362791,Celebrity Singers/Dancer,4544,Premium Perfumes,432,Customized Invitations
54,Cruise Weddings,Jaisalmer,7413715,208415,144346,20456,194150,Venue Decor/519830,251283,Celebrity Singers/Dancer,3259,High-Quality,824,Scroll Invitations
55,Palace Weddings,////Rishikesh////xc2,5416961,342718,536375,279799,440305,Luxury Package,146171,Professional Singer/Dance,675,Edible,494,Customized Invitations
56,Resort Weddings,Mumbai,2201966,68595,102288,33633,334431,Floral Decor,110018,Professional Singer/Dance,1671,Traditional Handicrafts,52,Traditional Paper
57,Resort Weddings,Jaipur,1686392,56089,30749,182683,518404,Luxury Package,124315,Professional Singer/Dance,3268,High-Quality,225,Customized Invitations
58,Beach Weddings,Neil Island,3754034,150834,30574,90576,193342,Venue Decor/519830,23024,DJ/Sangeet,521,Edible,844,Scroll Invitations
59,Beach Weddings,New Delhi,1567273,125237,85636,291090,393747,Floral Decor,100529,Professional Singer/Dance,1317,Traditional Handicrafts,904,Scroll Invitations
60,Palace Weddings,Alibaug,6433244,428586,601108,68100,588046,Luxury Package,338287,Celebrity Singers/Dancer,3670,High-Quality,196,Customized Invitations
61,Resort Weddings,New Delhi,2564389,58746,110538,151566,443756,Luxury Package,259310,Celebrity Singers/Dancer,2320,High-Quality,600,Boxed
62,Heritage Weddings,////Rishikesh////xc2,11432197,269819,91004,231595,395111,Floral Decor,493679,Celebrity Singers/Dancer,3888,High-Quality,852,Scroll Invitations
63,Hotel Weddings,Bangalore,295510,72976,441564,196837,489058,Luxury Package,114700,Professional Singer/Dance,4104,Premium Perfumes,531,Boxed
64,////Temple Weddings////,Mumbai,42875,25667,5580,203845,113552,Venue Decor/519830,296454,Celebrity Singers/Dancer,3775,High-Quality,248,Customized Invitations
65,////Farmhouse Weddings////,Mumbai,1565828,56028,66516,136218,577416,Luxury Package,347525,Celebrity Singers/Dancer,2244,High-Quality,300,Customized Invitations
66,Palace Weddings,Jaisalmer,7494403,557987,469861,225790,317033,Floral Decor,185758,Professional Singer/Dance,3100,High-Quality,999,Scroll Invitations
67,Palace Weddings,Lonavala,5811522,291616,397280,232403,468049,Luxury Package,255697,Celebrity Singers/Dancer,2479,High-Quality,912,Scroll Invitations
68,////Farmhouse Weddings////,New Delhi,1541171,67525,83103,189117,531497,Luxury Package,234147,Professional Singer/Dance,3272,High-Quality,422,Customized Invitations
69,Resort Weddings,Udaipur,3125931,153460,87215,252219,456665,Luxury Package,223259,Professional Singer/Dance,1428,Traditional Handicrafts,209,Customized Invitations
70,Cruise Weddings,Hyderabad,7759790,166833,76724,125795,260632,Floral Decor,131121,Professional Singer/Dance,2009,High-Quality,452,Customized Invitations
71,Hotel Weddings,Alibaug,508453,88196,342199,25117,258551,Floral Decor,217818,Professional Singer/Dance,3483,High-Quality,643,Boxed
72,Heritage Weddings,Tirupati,7979396,175843,393020,153856,542990,Luxury Package,279359,Celebrity Singers/Dancer,840,Edible,234,Customized Invitations
73,////Destination Weddings////,Lonavala,5612779,545903,240651,272386,558807,Luxury Package,29908,DJ/Sangeet,3287,High-Quality,485,Customized Invitations
74,Cruise Weddings,Udaipur,4857028,210803,122652,100976,361813,Floral Decor,45877,Live Band,4070,Premium Perfumes,451,Customized Invitations
75,Beach Weddings,Nainital,4688413,117113,78616,113715,523065,Luxury Package,70659,Live Band,4530,Premium Perfumes,502,Boxed
76,Resort Weddings,Varanasi,2680863,103380,57005,270203,67481,Venue Decor/519830,65656,Live Band,2440,High-Quality,920,Scroll Invitations
77,////Destination Weddings////,Tirupati,4972540,513727,311297,139483,513039,Luxury Package,73329,Live Band,4911,Premium Perfumes,330,Customized Invitations
78,////Temple Weddings////,Jaisalmer,51350,25336,11350,100374,595344,Luxury Package,98878,Live Band,551,Edible,233,Customized Invitations
79,////Temple Weddings////,Nainital,78015,17412,5760,242632,217778,Floral Decor,160218,Professional Singer/Dance,1681,Traditional Handicrafts,916,Scroll Invitations
80,Beach Weddings,Tirupati,1550928,176945,60451,165471,419230,Luxury Package,462818,Celebrity Singers/Dancer,4467,Premium Perfumes,91,Traditional Paper
81,Beach Weddings,Shimla,2091075,161052,87545,42563,283073,Floral Decor,421716,Celebrity Singers/Dancer,3219,High-Quality,966,Scroll Invitations
82,Resort Weddings,Udaipur,2441350,189741,104023,297479,433618,Luxury Package,139371,Professional Singer/Dance,3767,High-Quality,531,Boxed
83,////Destination Weddings////,Goa,4674328,606834,353299,273297,129600,Venue Decor/519830,450826,Celebrity Singers/Dancer,4509,Premium Perfumes,999,Scroll Invitations
84,Hotel Weddings,////Agatti Island////xc2,271643,93771,280391,110856,131977,Venue Decor/519830,289683,Celebrity Singers/Dancer,3454,High-Quality,488,Customized Invitations
85,////Destination Weddings////,////Rishikesh////xc2,4959250,629055,359717,116479,184284,Venue Decor/519830,298892,Celebrity Singers/Dancer,2797,High-Quality,616,Boxed
86,////Temple Weddings////,Alibaug,21366,29816,11014,262521,77458,Venue Decor/519830,223791,Professional Singer/Dance,1173,Traditional Handicrafts,75,Traditional Paper
87,////Farmhouse Weddings////,Goa,2254082,73583,49272,170418,75330,Venue Decor/519830,64109,Live Band,2681,High-Quality,375,Customized Invitations
88,////Destination Weddings////,Jaipur,4125002,614692,131721,215130,387857,Floral Decor,166744,Professional Singer/Dance,4407,Premium Perfumes,351,Customized Invitations
89,Hotel Weddings,////Bangaram Island////,435369,82298,327046,57780,390654,Floral Decor,457655,Celebrity Singers/Dancer,504,Edible,460,Customized Invitations
90,Beach Weddings,Mumbai,4905260,143401,58858,263440,106757,Venue Decor/519830,457414,Celebrity Singers/Dancer,2985,High-Quality,132,Customized Invitations
91,Heritage Weddings,Alibaug,9597525,916067,281469,129217,96868,Venue Decor/519830,127040,Professional Singer/Dance,3583,High-Quality,418,Customized Invitations
92,Hotel Weddings,Hyderabad,995951,81990,559821,87561,434200,Luxury Package,467397,Celebrity Singers/Dancer,4429,Premium Perfumes,189,Customized Invitations
93,Hotel Weddings,Varanasi,827487,53232,225573,205494,277221,Floral Decor,369819,Celebrity Singers/Dancer,2559,High-Quality,72,Traditional Paper
94,Beach Weddings,Varanasi,3080956,113539,45262,277418,451470,Luxury Package,498490,Celebrity Singers/Dancer,4971,Premium Perfumes,887,Scroll Invitations
95,Resort Weddings,Jaipur,2822292,187774,31597,242063,233133,Floral Decor,436676,Celebrity Singers/Dancer,2317,High-Quality,357,Customized Invitations
96,////Destination Weddings////,Jaipur,5349730,571467,257987,119639,263815,Floral Decor,41297,Live Band,1250,Traditional Handicrafts,399,Customized Invitations
97,Palace Weddings,////Mussoorie////,8679331,207865,553485,250855,507261,Luxury Package,225391,Professional Singer/Dance,2813,High-Quality,680,Boxed
98,////Temple Weddings////,////Rishikesh////xc2,39459,15498,5127,32752,328388,Floral Decor,395911,Celebrity Singers/Dancer,2934,High-Quality,142,Customized Invitations
99,Resort Weddings,Alibaug,1969657,120107,108361,225577,493788,Luxury Package,92792,Live Band,1321,Traditional Handicrafts,571,Boxed
100,Cruise Weddings,New Delhi,4756638,215593,117130,118275,526080,Luxury Package,110862,Professional Singer/Dance,4907,Premium Perfumes,205,Customized Invitations
101,Heritage Weddings,////Mussoorie////,6178697,443500,792778,21986,139566,Venue Decor/519830,161264,Professional Singer/Dance,3155,High-Quality,426,Customized Invitations
102,Palace Weddings,New Delhi,5135463,834122,235025,121622,400418,Luxury Package,445238,Celebrity Singers/Dancer,1118,Traditional Handicrafts,582,Boxed
103,Resort Weddings,////Bangaram Island////,2169864,139835,47673,91725,316169,Floral Decor,298546,Celebrity Singers/Dancer,1865,Traditional Handicrafts,594,Boxed
104,Resort Weddings,Hyderabad,2618350,161266,46917,258277,326018,Floral Decor,232137,Professional Singer/Dance,4776,Premium Perfumes,498,Customized Invitations
105,////Destination Weddings////,Jaipur,4295978,673920,372610,39422,313830,Floral Decor,372829,Celebrity Singers/Dancer,1832,Traditional Handicrafts,636,Boxed
106,Heritage Weddings,Lonavala,6693890,609317,200297,115885,384146,Floral Decor,237605,Professional Singer/Dance,1618,Traditional Handicrafts,605,Boxed
107,Cruise Weddings,Shimla,4673711,228815,103453,132250,68847,Venue Decor/519830,205583,Professional Singer/Dance,1599,Traditional Handicrafts,385,Customized Invitations
108,////Destination Weddings////,Nainital,4388474,520314,238240,148111,364778,Floral Decor,246055,Professional Singer/Dance,3341,High-Quality,662,Boxed
109,////Farmhouse Weddings////,////Agatti Island////xc2,3454249,68621,35574,91791,585785,Luxury Package,430063,Celebrity Singers/Dancer,1923,Traditional Handicrafts,417,Customized Invitations
110,Palace Weddings,Lonavala,8122876,718282,245997,213723,261900,Floral Decor,220980,Professional Singer/Dance,3873,High-Quality,589,Boxed
111,////Farmhouse Weddings////,Jaipur,3239241,94601,59567,280588,193074,Venue Decor/519830,456849,Celebrity Singers/Dancer,1563,Traditional Handicrafts,652,Boxed
112,Cruise Weddings,////Agatti Island////xc2,3947414,173576,119035,93359,512244,Luxury Package,99156,Live Band,3640,High-Quality,850,Scroll Invitations
113,Heritage Weddings,////Rishikesh////xc2,10994191,258365,572335,42807,215681,Floral Decor,59009,Live Band,4242,Premium Perfumes,446,Customized Invitations
114,Resort Weddings,Jodhpur,1572771,110247,39749,43645,149579,Venue Decor/519830,222738,Professional Singer/Dance,2665,High-Quality,332,Customized Invitations
115,Cruise Weddings,Goa,3635366,101049,98203,29509,500545,Luxury Package,457996,Celebrity Singers/Dancer,2481,High-Quality,532,Boxed
116,////Temple Weddings////,////Agatti Island////xc2,73338,26684,7688,71124,368748,Floral Decor,380816,Celebrity Singers/Dancer,2100,High-Quality,382,Customized Invitations
117,////Destination Weddings////,Varanasi,5194842,604786,167715,126766,307880,Floral Decor,442890,Celebrity Singers/Dancer,1490,Traditional Handicrafts,998,Scroll Invitations
118,Beach Weddings,Hyderabad,2110277,155944,84974,27003,52098,Mandap,341607,Celebrity Singers/Dancer,4120,Premium Perfumes,596,Boxed
119,Beach Weddings,Hyderabad,3176272,111718,65778,63916,341803,Floral Decor,288908,Celebrity Singers/Dancer,3235,High-Quality,573,Boxed
120,Cruise Weddings,Nainital,5812575,249188,79467,284864,89495,Venue Decor/519830,142018,Professional Singer/Dance,4032,Premium Perfumes,112,Customized Invitations
121,////Farmhouse Weddings////,Neil Island,2805864,73618,72666,219200,314600,Floral Decor,138064,Professional Singer/Dance,1804,Traditional Handicrafts,991,Scroll Invitations
122,Beach Weddings,Goa,4259277,195077,58904,269080,76200,Venue Decor/519830,388833,Celebrity Singers/Dancer,3380,High-Quality,647,Boxed
123,Resort Weddings,Tirupati,2274747,197387,92550,231757,361373,Floral Decor,438891,Celebrity Singers/Dancer,1001,Traditional Handicrafts,253,Customized Invitations
124,Hotel Weddings,Lonavala,531520,90293,296788,129362,589188,Luxury Package,365284,Celebrity Singers/Dancer,1015,Traditional Handicrafts,224,Customized Invitations
125,Beach Weddings,Alibaug,3053032,157515,34371,252448,567519,Luxury Package,271792,Celebrity Singers/Dancer,4111,Premium Perfumes,578,Boxed
126,////Farmhouse Weddings////,Jaisalmer,2955762,94910,33798,126676,549433,Luxury Package,392380,Celebrity Singers/Dancer,582,Edible,564,Boxed
127,Resort Weddings,Udaipur,2107126,197389,119527,285831,161045,Venue Decor/519830,106898,Professional Singer/Dance,537,Edible,696,Boxed
128,////Temple Weddings////,Jaisalmer,58461,17629,5390,236500,162167,Venue Decor/519830,84199,Live Band,3791,High-Quality,579,Boxed
129,Cruise Weddings,Jaipur,4487875,157196,123948,87040,385916,Floral Decor,275559,Celebrity Singers/Dancer,4880,Premium Perfumes,353,Customized Invitations
130,Resort Weddings,New Delhi,2983218,128055,26592,219832,310143,Floral Decor,326056,Celebrity Singers/Dancer,1175,Traditional Handicrafts,335,Customized Invitations
131,////Farmhouse Weddings////,////Bangaram Island////,2744001,65650,76970,63210,217727,Floral Decor,375851,Celebrity Singers/Dancer,2282,High-Quality,964,Scroll Invitations
132,////Farmhouse Weddings////,Nainital,1693776,66275,61714,205578,354016,Floral Decor,194856,Professional Singer/Dance,4255,Premium Perfumes,290,Customized Invitations
133,////Temple Weddings////,Alibaug,90453,22598,11401,251525,421330,Luxury Package,63702,Live Band,3914,High-Quality,526,Boxed
134,////Farmhouse Weddings////,////Agatti Island////xc2,1744455,93839,69744,112064,523177,Luxury Package,192824,Professional Singer/Dance,3310,High-Quality,753,Boxed
135,Cruise Weddings,Mumbai,5279180,131064,98117,78714,114662,Venue Decor/519830,406487,Celebrity Singers/Dancer,1573,Traditional Handicrafts,229,Customized Invitations
136,Cruise Weddings,////Rishikesh////xc2,7046374,196457,70659,99464,73342,Venue Decor/519830,342055,Celebrity Singers/Dancer,4274,Premium Perfumes,707,Boxed
137,////Temple Weddings////,Alibaug,26759,25110,8816,182685,242649,Floral Decor,321142,Celebrity Singers/Dancer,1862,Traditional Handicrafts,790,Boxed
138,Resort Weddings,Bangalore,3313177,144462,97376,134924,104472,Venue Decor/519830,456744,Celebrity Singers/Dancer,3769,High-Quality,781,Boxed
139,Resort Weddings,Jodhpur,2220206,62845,30153,279740,107295,Venue Decor/519830,133975,Professional Singer/Dance,1735,Traditional Handicrafts,564,Boxed
140,Resort Weddings,New Delhi,3357653,164689,74603,163084,382142,Floral Decor,498267,Celebrity Singers/Dancer,3113,High-Quality,638,Boxed
141,Beach Weddings,Bangalore,3342904,182743,28518,83464,320498,Floral Decor,251935,Celebrity Singers/Dancer,4989,Premium Perfumes,209,Customized Invitations
142,////Temple Weddings////,Goa,37857,21580,6395,32410,317460,Floral Decor,62557,Live Band,2835,High-Quality,896,Scroll Invitations
143,Palace Weddings,Shimla,8819493,607096,516816,190556,324657,Floral Decor,45918,Live Band,3135,High-Quality,951,Scroll Invitations
144,Palace Weddings,Varanasi,7952244,345666,101961,102403,255384,Floral Decor,153122,Professional Singer/Dance,1688,Traditional Handicrafts,912,Scroll Invitations
145,Beach Weddings,New Delhi,2750172,87781,92307,243104,336354,Floral Decor,134559,Professional Singer/Dance,1697,Traditional Handicrafts,69,Traditional Paper
146,Hotel Weddings,Lonavala,989772,73447,423699,137168,97315,Venue Decor/519830,276397,Celebrity Singers/Dancer,903,Edible,831,Scroll Invitations
147,Palace Weddings,Jaisalmer,8086886,414883,256145,78237,157491,Venue Decor/519830,55093,Live Band,1516,Traditional Handicrafts,301,Customized Invitations
148,Beach Weddings,Jaipur,2536736,93248,74188,187014,164795,Venue Decor/519830,357052,Celebrity Singers/Dancer,2688,High-Quality,991,Scroll Invitations
149,////Farmhouse Weddings////,Mumbai,3993586,83379,90669,233052,386671,Floral Decor,104285,Professional Singer/Dance,2350,High-Quality,793,Boxed
150,Palace Weddings,Udaipur,7765576,863966,180867,256307,375727,Floral Decor,299924,Celebrity Singers/Dancer,2582,High-Quality,212,Customized Invitations
151,Heritage Weddings,////Mussoorie////,11255602,252897,660931,210120,201906,Floral Decor,321715,Celebrity Singers/Dancer,4686,Premium Perfumes,361,Customized Invitations
152,////Destination Weddings////,Hyderabad,4471134,541434,359152,291070,210244,Floral Decor,301679,Celebrity Singers/Dancer,3461,High-Quality,115,Customized Invitations
153,Hotel Weddings,Shimla,280559,54405,584680,222025,540454,Luxury Package,226522,Professional Singer/Dance,4978,Premium Perfumes,140,Customized Invitations
154,Cruise Weddings,Jaipur,5191066,220894,77067,132908,80503,Venue Decor/519830,289975,Celebrity Singers/Dancer,2070,High-Quality,968,Scroll Invitations
155,////Farmhouse Weddings////,////Mussoorie////,2026973,86985,92559,232997,128799,Venue Decor/519830,114918,Professional Singer/Dance,4326,Premium Perfumes,361,Customized Invitations
156,Palace Weddings,Alibaug,7327958,404740,321462,67944,223102,Floral Decor,27283,DJ/Sangeet,3606,High-Quality,237,Customized Invitations
157,Beach Weddings,////Rishikesh////xc2,4530570,136829,56256,97118,118070,Venue Decor/519830,375198,Celebrity Singers/Dancer,2664,High-Quality,404,Customized Invitations
158,////Temple Weddings////,Goa,45565,24026,5652,145665,253961,Floral Decor,492174,Celebrity Singers/Dancer,731,Edible,442,Customized Invitations
159,Heritage Weddings,Nainital,10839430,777732,263228,205050,432729,Luxury Package,441264,Celebrity Singers/Dancer,2138,High-Quality,336,Customized Invitations
160,Heritage Weddings,Udaipur,6018359,836410,801871,120321,428088,Luxury Package,104382,Professional Singer/Dance,3364,High-Quality,550,Boxed
161,Hotel Weddings,Bangalore,284956,86468,344115,89035,75652,Venue Decor/519830,357100,Celebrity Singers/Dancer,1955,Traditional Handicrafts,449,Customized Invitations
162,Palace Weddings,Lonavala,6786303,595064,564778,126579,94832,Venue Decor/519830,355018,Celebrity Singers/Dancer,3912,High-Quality,197,Customized Invitations
163,Resort Weddings,Nainital,1807711,190736,52662,203677,212909,Floral Decor,318872,Celebrity Singers/Dancer,3775,High-Quality,615,Boxed
164,////Temple Weddings////,Neil Island,33037,20807,7345,244911,159265,Venue Decor/519830,31155,Live Band,1465,Traditional Handicrafts,990,Scroll Invitations
165,Hotel Weddings,Jaisalmer,947543,56521,267685,127962,173327,Venue Decor/519830,202166,Professional Singer/Dance,4564,Premium Perfumes,379,Customized Invitations
166,Resort Weddings,Udaipur,2864682,173975,149248,116083,175697,Venue Decor/519830,51258,Live Band,4064,Premium Perfumes,102,Customized Invitations
167,Hotel Weddings,Jaipur,930824,60827,284059,187680,105131,Venue Decor/519830,383949,Celebrity Singers/Dancer,1763,Traditional Handicrafts,113,Customized Invitations
168,Beach Weddings,Udaipur,3066934,145400,79924,228644,434895,Luxury Package,341730,Celebrity Singers/Dancer,1160,Traditional Handicrafts,991,Scroll Invitations
169,Heritage Weddings,Hyderabad,8526502,612006,112964,183691,355127,Floral Decor,418439,Celebrity Singers/Dancer,2259,High-Quality,622,Boxed
170,Beach Weddings,New Delhi,3828538,194007,39462,158681,404045,Luxury Package,107830,Professional Singer/Dance,4534,Premium Perfumes,267,Customized Invitations
171,Cruise Weddings,Jaipur,5355038,145999,142467,29319,598516,Luxury Package,306461,Celebrity Singers/Dancer,3981,High-Quality,110,Customized Invitations
172,Resort Weddings,Nainital,2423127,139871,33524,248122,356165,Floral Decor,34320,Live Band,1579,Traditional Handicrafts,98,Traditional Paper
173,Resort Weddings,////Mussoorie////,2841619,55354,146411,137441,321290,Floral Decor,40336,Live Band,1694,Traditional Handicrafts,279,Customized Invitations
174,////Farmhouse Weddings////,Neil Island,3778372,52857,69911,117918,85777,Venue Decor/519830,225902,Professional Singer/Dance,4379,Premium Perfumes,417,Customized Invitations
175,Resort Weddings,Jodhpur,2001500,157068,72169,284783,401985,Luxury Package,52915,Live Band,1996,Traditional Handicrafts,984,Scroll Invitations
176,Cruise Weddings,Shimla,3629024,159993,111280,115736,598301,Luxury Package,163036,Professional Singer/Dance,4602,Premium Perfumes,153,Customized Invitations
177,////Farmhouse Weddings////,Tirupati,2898077,80604,57836,278407,242591,Floral Decor,365809,Celebrity Singers/Dancer,3050,High-Quality,632,Boxed
178,Beach Weddings,////Bangaram Island////,2516366,126239,89370,110610,321516,Floral Decor,278374,Celebrity Singers/Dancer,4505,Premium Perfumes,434,Customized Invitations
179,Cruise Weddings,Bangalore,7898289,185479,81441,238288,155665,Venue Decor/519830,151550,Professional Singer/Dance,3297,High-Quality,716,Boxed
180,////Destination Weddings////,Shimla,4547361,665439,266027,81186,256841,Floral Decor,216862,Professional Singer/Dance,3032,High-Quality,561,Boxed
